name	description
ResolveDNS	Performs a DNS name query resolution for a host.
ResultSetFilter	Filters a table according to a specified statement
Right	Extracts a specified number of characters from the right side of a string 
RightTrim	Removes the trailing blank spaces from a string
RotateTable	Rotates a table by 90 degrees
Round	Rounds a decimal value to the nearest integral value
RunRemoteExecutable	Run an executable hosted on a remote Windows host.
RunWorkflow	Runs a child Workflow within the current one
SalesforceCreateRecord	Salesforce Create Record
SalesforceExecuteSOQL	Salesforce Execute SOQL
SalesforceGetRecord	Salesforce Get Record
SalesforceUpdateRecord	Salesforce Update Record
SAPActivateUser	Activates an existing user in SAP ECC
SAPAssignRole	Assigns a role to an exisitng user in SAP ECC
SAPCreateNewUser	Creates a new user in SAP ECC
SAPDeactivateUser	Deactivates an existing user in SAP ECC
SAPPasswordReset	Resets a user’s password in SAP ECC
SAPRemoveRole	Removes a role from an exisitng user in SAP ECC
SAPReprocessIDocs	Reprocess the selected IDocs.
SAPUpdateUser	Updates an existing user in SAP ECC
SaveXMLSession	Saves an XML session to a file
SCOMCreateAlert	Creates a new alert in MS Operations Manager
SCOMGetAlert	Retrieves a list of MS Operations Manager alerts according to the selected criteria
SCOMStartMaintenanceMode	Starts a maintenance mode of a specified MS Operations Manager monitor for a predefined duration
SCOMStopMaintenanceMode	Stops a maintenance mode of a specified MS Operations Manager monitor
SCOMUpdateAlert	Updates an existing MS Operations Manager alert
SearchRowByInterval	Searches for a row containing certain keywords within a specified range of rows
SelfServiceResponse	Sends a response to the self service request
SendCiscoCommand	Sends a command to a Cisco router 
SendEmail	Sends an email to a User, a Duty or a Group
SendSMS	Send an SMS to a User or a Group
SendSSHCommand	Sends a single SSH protocol command to an open SSH session
SendSSHPassword	Sends an encrypted password to an open SSH session
SendSyslog	Sends a Syslog message (creates a log entry)
SendTelnetCommand	Sends a Telnet Command
ServerDetails	Retrieve detailed system information on a Windows server.
ServerLogoff	Logs a user off a Server 
ServerOSDetails	Retrieve detailed OS information on a Windows server.
ServerRestart	Restarts a Server
ServerShutdown	Shuts down a Server
ServiceDeskPlusAssociateProblem	This operation lets you attach a Problem to a Incident Request.
ServiceDeskPlusDeleteRequest	This operation lets you delete(move to trash) request.
ServiceDeskPlusGetAssociatedProblem	This operation allows you to get the associated Problem of a incident request.
ServiceDeskPlusGetRequestSummary	This operation allows you to get the summary of a request.
ServiceDeskPlusGetResolution	This operation allows you to get a resolution of the request.
ServiceDeskPlusViewAllRequests	This operation lets you to view the details of all the requests.
ServiceDeskPlusViewRequest	This operation helps you to view the request details by the unique request id.
ServicePause	Pauses a Service
ServiceRestart	Restarts a Service
ServiceResume	Resumes a paused service
ServiceStart	Starts a Service
ServiceStartupType	Returns the service’s startup type (Manual/Auto/Disabled)
ServiceStatus	Returns the status of the specified Service
ServiceStop	Stops a Service
SetCellValue	Sets a new value to a table''s cell
SetFilePermissions	Sets a file’s permissions
SetFolderPermissions	Sets a folder’s permissions
SetIncidentTicketID	Assigns an Incident with a ticket ID which can be used by another workflow
SetServiceLogonCredentials	Sets the service''s logon account
