ActivityName,SelectedModuleID,ModuleTypeName,Category,TaskType,NodeType,UsageCount,IsOrphaned
terminateWorkflow7,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
terminateWorkflow8,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
terminateWorkflow9,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
termMonth,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
termYear,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TEST_jsonData,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TEST_setMappingFile,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TEST_setOkPayload,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TEST_setPayload,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TEST_subsAccountInfoCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TEST_toollist,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTaccountName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTactivityData,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTapacheConfig,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTContractorEmpNum,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTcontractorFullName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTContractorSamAccountName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tsqlVC_NetworkENT2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tsqlVC_NetworkPRD,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TTDesc_Conclusion_header_JV,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TTDesc_Conclusion_header_Proximus,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TTDesc_Conclusion_header_Proximus_with_UTAC_list,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tz_TOMORROW,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
uccComment,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
uccIssueType,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
uccKey,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
uccStatus,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
uccSummary,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
uccUpdated,NULL,INTERNAL,INTERNAL,OUTPUT,LEAF,1,0
ucFirst1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tsqlVC_DataCenterENT2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tsqlVC_DataCenterPRD,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tsqlStatement4,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugAddServerToDB,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugAddAccount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugBuildEditSubSqlQuery,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugBuildNewSubSql,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugBuildOutputRow,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugBuildSqlUpdateString,NULL,INTERNAL,INTERNAL,OUTPUT,LEAF,1,0
ugBuildVarInfo,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugConvertDatesToTS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugGetAccounts,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugGetCertBindingFromDb,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugGetFsAccounts,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugGetFsSubsripionData,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugGetSoftwareListing,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugGetSubModifyDateTime,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugGetSubscriptions,NULL,INTERNAL,INTERNAL,INPUT,LEAF,1,0
ugIdentifyWebServerApp,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugInitSubVars,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugIterateDbAccounts,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugIterateFsAccountData,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugIterateFsSubAccountInfo,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ugIterateSubs,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TrimReason,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trimSurname,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trimWorkNumber,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TRM_url,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
True_Emergency,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
True_IsApproval2_Approved,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
True_Scheduled,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
True_SeeApproval1_NoResponse,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
True_SeeApproval2_NoResponse,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
truncate1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tsomCreateEvent1,45,BMC TrueSight,OTHER,OUTPUT,LEAF,1,0
tsomGetEvent1,45,BMC TrueSight,OTHER,INPUT,LEAF,1,0
tsomUpdateEvent1,45,BMC TrueSight,OTHER,OUTPUT,LEAF,1,0
tsql_Host,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TSQL_module,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trimmedExcludedDepts,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trimmedExcludedDeptsIn,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trimmedTLDomains,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trimMobile,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trimPager,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
toolResultJson,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tracert1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
trailFileCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
